Location,Indicator,Period,First Tooltip
Brazil,UHC index of essential service coverage,2015,78
Brunei Darussalam,UHC index of essential service coverage,2017,81
Brunei Darussalam,UHC index of essential service coverage,2015,83
Bulgaria,UHC index of essential service coverage,2017,66
Bulgaria,UHC index of essential service coverage,2015,64
Burkina Faso,UHC index of essential service coverage,2017,40
Burkina Faso,UHC index of essential service coverage,2015,38
Burundi,UHC index of essential service coverage,2017,42
Burundi,UHC index of essential service coverage,2015,43
Cabo Verde,UHC index of essential service coverage,2017,69
Cabo Verde,UHC index of essential service coverage,2015,67
Cambodia,UHC index of essential service coverage,2017,60
Cambodia,UHC index of essential service coverage,2015,55
Cameroon,UHC index of essential service coverage,2017,46
Cameroon,UHC index of essential service coverage,2015,43
Canada,UHC index of essential service coverage,2017,89
Canada,UHC index of essential service coverage,2015,88
Central African Republic,UHC index of essential service coverage,2017,33
Central African Republic,UHC index of essential service coverage,2015,32
Chad,UHC index of essential service coverage,2017,28
Chad,UHC index of essential service coverage,2015,27
Chile,UHC index of essential service coverage,2017,70
Chile,UHC index of essential service coverage,2015,66
China,UHC index of essential service coverage,2017,79
China,UHC index of essential service coverage,2015,76
Colombia,UHC index of essential service coverage,2017,76
Colombia,UHC index of essential service coverage,2015,76
Comoros,UHC index of essential service coverage,2017,52
Comoros,UHC index of essential service coverage,2015,49
Congo,UHC index of essential service coverage,2017,39
Congo,UHC index of essential service coverage,2015,40
Costa Rica,UHC index of essential service coverage,2017,77
Costa Rica,UHC index of essential service coverage,2015,76
Côte d’Ivoire,UHC index of essential service coverage,2017,47
Côte d’Ivoire,UHC index of essential service coverage,2015,46
Croatia,UHC index of essential service coverage,2017,71
Croatia,UHC index of essential service coverage,2015,60
Cuba,UHC index of essential service coverage,2017,83
Cuba,UHC index of essential service coverage,2015,81
Cyprus,UHC index of essential service coverage,2017,78
Cyprus,UHC index of essential service coverage,2015,75
Czechia,UHC index of essential service coverage,2017,76
Czechia,UHC index of essential service coverage,2015,74
Democratic People's Republic of Korea,UHC index of essential service coverage,2017,71
Democratic People's Republic of Korea,UHC index of essential service coverage,2015,70
Democratic Republic of the Congo,UHC index of essential service coverage,2017,41
Democratic Republic of the Congo,UHC index of essential service coverage,2015,39
Denmark,UHC index of essential service coverage,2017,81
Denmark,UHC index of essential service coverage,2015,82
Djibouti,UHC index of essential service coverage,2017,47
Djibouti,UHC index of essential service coverage,2015,44
Dominican Republic,UHC index of essential service coverage,2017,74
Dominican Republic,UHC index of essential service coverage,2015,74
Ecuador,UHC index of essential service coverage,2017,77
Ecuador,UHC index of essential service coverage,2015,76
Egypt,UHC index of essential service coverage,2017,68
Egypt,UHC index of essential service coverage,2015,65
El Salvador,UHC index of essential service coverage,2017,76
El Salvador,UHC index of essential service coverage,2015,75
Equatorial Guinea,UHC index of essential service coverage,2017,45
Equatorial Guinea,UHC index of essential service coverage,2015,40
Eritrea,UHC index of essential service coverage,2017,38
Eritrea,UHC index of essential service coverage,2015,38
Estonia,UHC index of essential service coverage,2017,75
Estonia,UHC index of essential service coverage,2015,75
Eswatini,UHC index of essential service coverage,2017,63
Eswatini,UHC index of essential service coverage,2015,60
Ethiopia,UHC index of essential service coverage,2017,39
Ethiopia,UHC index of essential service coverage,2015,39
Fiji,UHC index of essential service coverage,2017,64
Fiji,UHC index of essential service coverage,2015,64
Finland,UHC index of essential service coverage,2017,78
Finland,UHC index of essential service coverage,2015,79
France,UHC index of essential service coverage,2017,78
France,UHC index of essential service coverage,2015,78
Gabon,UHC index of essential service coverage,2017,49
Gabon,UHC index of essential service coverage,2015,51
Gambia,UHC index of essential service coverage,2017,44
Gambia,UHC index of essential service coverage,2015,45
Georgia,UHC index of essential service coverage,2017,66
Georgia,UHC index of essential service coverage,2015,66
Germany,UHC index of essential service coverage,2017,83
Germany,UHC index of essential service coverage,2015,82
Ghana,UHC index of essential service coverage,2017,47
Ghana,UHC index of essential service coverage,2015,46
Greece,UHC index of essential service coverage,2017,75
Greece,UHC index of essential service coverage,2015,74
Grenada,UHC index of essential service coverage,2017,72
Grenada,UHC index of essential service coverage,2015,69
Guatemala,UHC index of essential service coverage,2017,55
Guatemala,UHC index of essential service coverage,2015,57
Guinea,UHC index of essential service coverage,2017,37
Guinea,UHC index of essential service coverage,2015,34
Guinea-Bissau,UHC index of essential service coverage,2017,40
Guinea-Bissau,UHC index of essential service coverage,2015,40
Guyana,UHC index of essential service coverage,2017,72
Guyana,UHC index of essential service coverage,2015,70
Haiti,UHC index of essential service coverage,2017,49
Haiti,UHC index of essential service coverage,2015,47
Honduras,UHC index of essential service coverage,2017,65
Honduras,UHC index of essential service coverage,2015,66
Hungary,UHC index of essential service coverage,2017,74
Hungary,UHC index of essential service coverage,2015,73
Iceland,UHC index of essential service coverage,2017,84
Iceland,UHC index of essential service coverage,2015,85
India,UHC index of essential service coverage,2017,55
India,UHC index of essential service coverage,2015,52
Indonesia,UHC index of essential service coverage,2017,57
Indonesia,UHC index of essential service coverage,2015,53
Iran (Islamic Republic of),UHC index of essential service coverage,2017,72
Iran (Islamic Republic of),UHC index of essential service coverage,2015,70
Iraq,UHC index of essential service coverage,2017,61
Iraq,UHC index of essential service coverage,2015,61
Ireland,UHC index of essential service coverage,2017,76
Ireland,UHC index of essential service coverage,2015,79
Israel,UHC index of essential service coverage,2017,82
Israel,UHC index of essential service coverage,2015,81
Italy,UHC index of essential service coverage,2017,82
Italy,UHC index of essential service coverage,2015,81
Jamaica,UHC index of essential service coverage,2017,65
Jamaica,UHC index of essential service coverage,2015,62
Japan,UHC index of essential service coverage,2017,83
Japan,UHC index of essential service coverage,2015,80
Jordan,UHC index of essential service coverage,2017,76
Jordan,UHC index of essential service coverage,2015,76
Kazakhstan,UHC index of essential service coverage,2017,76
Kazakhstan,UHC index of essential service coverage,2015,74
Kenya,UHC index of essential service coverage,2017,55
Kenya,UHC index of essential service coverage,2015,54
Kiribati,UHC index of essential service coverage,2017,41
Kiribati,UHC index of essential service coverage,2015,39
Kuwait,UHC index of essential service coverage,2017,76
Kuwait,UHC index of essential service coverage,2015,75
Kyrgyzstan,UHC index of essential service coverage,2017,70
Kyrgyzstan,UHC index of essential service coverage,2015,68
Lao People's Democratic Republic,UHC index of essential service coverage,2017,51
Lao People's Democratic Republic,UHC index of essential service coverage,2015,49
Latvia,UHC index of essential service coverage,2017,71
Latvia,UHC index of essential service coverage,2015,67
Lebanon,UHC index of essential service coverage,2017,73
Lebanon,UHC index of essential service coverage,2015,71
Lesotho,UHC index of essential service coverage,2017,48
Lesotho,UHC index of essential service coverage,2015,47
Liberia,UHC index of essential service coverage,2017,39
Liberia,UHC index of essential service coverage,2015,37
Libya,UHC index of essential service coverage,2017,64
Libya,UHC index of essential service coverage,2015,62
Lithuania,UHC index of essential service coverage,2017,73
Lithuania,UHC index of essential service coverage,2015,70
Luxembourg,UHC index of essential service coverage,2017,83
Luxembourg,UHC index of essential service coverage,2015,82
Madagascar,UHC index of essential service coverage,2017,28
Madagascar,UHC index of essential service coverage,2015,24
Malawi,UHC index of essential service coverage,2017,46
Malawi,UHC index of essential service coverage,2015,43
Malaysia,UHC index of essential service coverage,2017,73
Malaysia,UHC index of essential service coverage,2015,71
Maldives,UHC index of essential service coverage,2017,62
Maldives,UHC index of essential service coverage,2015,59
Mali,UHC index of essential service coverage,2017,38
Mali,UHC index of essential service coverage,2015,35
Malta,UHC index of essential service coverage,2017,82
Malta,UHC index of essential service coverage,2015,81
Mauritania,UHC index of essential service coverage,2017,41
Mauritania,UHC index of essential service coverage,2015,36
Mauritius,UHC index of essential service coverage,2017,63
Mauritius,UHC index of essential service coverage,2015,62
Mexico,UHC index of essential service coverage,2017,76
Mexico,UHC index of essential service coverage,2015,76
Micronesia (Federated States of),UHC index of essential service coverage,2017,47
Micronesia (Federated States of),UHC index of essential service coverage,2015,44
Mongolia,UHC index of essential service coverage,2017,62
Mongolia,UHC index of essential service coverage,2015,62
Montenegro,UHC index of essential service coverage,2017,68
Montenegro,UHC index of essential service coverage,2015,67
Morocco,UHC index of essential service coverage,2017,70
Morocco,UHC index of essential service coverage,2015,69
Mozambique,UHC index of essential service coverage,2017,46
Mozambique,UHC index of essential service coverage,2015,43
Myanmar,UHC index of essential service coverage,2017,61
Myanmar,UHC index of essential service coverage,2015,59
Namibia,UHC index of essential service coverage,2017,62
Namibia,UHC index of essential service coverage,2015,61
Nepal,UHC index of essential service coverage,2017,48
Nepal,UHC index of essential service coverage,2015,51
Netherlands,UHC index of essential service coverage,2017,86
Netherlands,UHC index of essential service coverage,2015,85
New Zealand,UHC index of essential service coverage,2017,87
New Zealand,UHC index of essential service coverage,2015,85
Nicaragua,UHC index of essential service coverage,2017,73
Nicaragua,UHC index of essential service coverage,2015,71
Niger,UHC index of essential service coverage,2017,37
Niger,UHC index of essential service coverage,2015,35
Nigeria,UHC index of essential service coverage,2017,42
Nigeria,UHC index of essential service coverage,2015,42
Norway,UHC index of essential service coverage,2017,87
Norway,UHC index of essential service coverage,2015,86
Oman,UHC index of essential service coverage,2017,69
Oman,UHC index of essential service coverage,2015,71
Pakistan,UHC index of essential service coverage,2017,45
Pakistan,UHC index of essential service coverage,2015,42
Panama,UHC index of essential service coverage,2017,79
Panama,UHC index of essential service coverage,2015,76
Papua New Guinea,UHC index of essential service coverage,2017,40
Papua New Guinea,UHC index of essential service coverage,2015,41
Paraguay,UHC index of essential service coverage,2017,69
Paraguay,UHC index of essential service coverage,2015,68
Peru,UHC index of essential service coverage,2017,77
Peru,UHC index of essential service coverage,2015,77
Philippines,UHC index of essential service coverage,2017,61
Philippines,UHC index of essential service coverage,2015,57
Poland,UHC index of essential service coverage,2017,75
Poland,UHC index of essential service coverage,2015,74
Portugal,UHC index of essential service coverage,2017,82
Portugal,UHC index of essential service coverage,2015,81
Qatar,UHC index of essential service coverage,2017,68
Qatar,UHC index of essential service coverage,2015,69
Republic of Korea,UHC index of essential service coverage,2017,86
Republic of Korea,UHC index of essential service coverage,2015,85
Republic of Moldova,UHC index of essential service coverage,2017,69
Republic of Moldova,UHC index of essential service coverage,2015,68
The former Yugoslav Republic of Macedonia,UHC index of essential service coverage,2017,72
The former Yugoslav Republic of Macedonia,UHC index of essential service coverage,2015,70
Romania,UHC index of essential service coverage,2017,74
Romania,UHC index of essential service coverage,2015,73
Russian Federation,UHC index of essential service coverage,2017,75
Russian Federation,UHC index of essential service coverage,2015,71
Rwanda,UHC index of essential service coverage,2017,57
Rwanda,UHC index of essential service coverage,2015,54
Saint Lucia,UHC index of essential service coverage,2017,68
Saint Lucia,UHC index of essential service coverage,2015,66
Saint Vincent and the Grenadines,UHC index of essential service coverage,2017,71
Saint Vincent and the Grenadines,UHC index of essential service coverage,2015,67
Samoa,UHC index of essential service coverage,2017,58
Samoa,UHC index of essential service coverage,2015,58
Sao Tome and Principe,UHC index of essential service coverage,2017,55
Sao Tome and Principe,UHC index of essential service coverage,2015,53
Saudi Arabia,UHC index of essential service coverage,2017,74
Saudi Arabia,UHC index of essential service coverage,2015,73
Senegal,UHC index of essential service coverage,2017,45
Senegal,UHC index of essential service coverage,2015,44
Serbia,UHC index of essential service coverage,2017,65
Serbia,UHC index of essential service coverage,2015,65
Seychelles,UHC index of essential service coverage,2017,71
Seychelles,UHC index of essential service coverage,2015,71
Sierra Leone,UHC index of essential service coverage,2017,39
Sierra Leone,UHC index of essential service coverage,2015,36
Singapore,UHC index of essential service coverage,2017,86
Singapore,UHC index of essential service coverage,2015,85
Slovakia,UHC index of essential service coverage,2017,77
Slovakia,UHC index of essential service coverage,2015,75
Slovenia,UHC index of essential service coverage,2017,79
Slovenia,UHC index of essential service coverage,2015,79
Solomon Islands,UHC index of essential service coverage,2017,47
Solomon Islands,UHC index of essential service coverage,2015,46
Somalia,UHC index of essential service coverage,2017,25
Somalia,UHC index of essential service coverage,2015,22
South Africa,UHC index of essential service coverage,2017,69
South Africa,UHC index of essential service coverage,2015,69
South Sudan,UHC index of essential service coverage,2017,31
South Sudan,UHC index of essential service coverage,2015,30
Spain,UHC index of essential service coverage,2017,83
Spain,UHC index of essential service coverage,2015,81
Sri Lanka,UHC index of essential service coverage,2017,66
Sri Lanka,UHC index of essential service coverage,2015,63
Sudan,UHC index of essential service coverage,2017,44
Sudan,UHC index of essential service coverage,2015,42
Suriname,UHC index of essential service coverage,2017,71
Suriname,UHC index of essential service coverage,2015,70
Sweden,UHC index of essential service coverage,2017,86
Sweden,UHC index of essential service coverage,2015,85
Switzerland,UHC index of essential service coverage,2017,83
Switzerland,UHC index of essential service coverage,2015,82
Syrian Arab Republic,UHC index of essential service coverage,2017,60
Syrian Arab Republic,UHC index of essential service coverage,2015,59
Tajikistan,UHC index of essential service coverage,2017,68
Tajikistan,UHC index of essential service coverage,2015,67
Thailand,UHC index of essential service coverage,2017,80
Thailand,UHC index of essential service coverage,2015,75
Timor-Leste,UHC index of essential service coverage,2017,52
Timor-Leste,UHC index of essential service coverage,2015,49
Togo,UHC index of essential service coverage,2017,43
Togo,UHC index of essential service coverage,2015,42
Tonga,UHC index of essential service coverage,2017,58
Tonga,UHC index of essential service coverage,2015,56
Trinidad and Tobago,UHC index of essential service coverage,2017,74
Trinidad and Tobago,UHC index of essential service coverage,2015,72
Tunisia,UHC index of essential service coverage,2017,70
Tunisia,UHC index of essential service coverage,2015,70
Turkey,UHC index of essential service coverage,2017,74
Turkey,UHC index of essential service coverage,2015,71
Turkmenistan,UHC index of essential service coverage,2017,70
Turkmenistan,UHC index of essential service coverage,2015,69
Uganda,UHC index of essential service coverage,2017,45
Uganda,UHC index of essential service coverage,2015,44
Ukraine,UHC index of essential service coverage,2017,68
Ukraine,UHC index of essential service coverage,2015,65
United Arab Emirates,UHC index of essential service coverage,2017,76
United Arab Emirates,UHC index of essential service coverage,2015,72
United Kingdom of Great Britain and Northern Ireland,UHC index of essential service coverage,2017,87
United Kingdom of Great Britain and Northern Ireland,UHC index of essential service coverage,2015,85
United Republic of Tanzania,UHC index of essential service coverage,2017,43
United Republic of Tanzania,UHC index of essential service coverage,2015,41
United States of America,UHC index of essential service coverage,2017,84
United States of America,UHC index of essential service coverage,2015,83
Uruguay,UHC index of essential service coverage,2017,80
Uruguay,UHC index of essential service coverage,2015,79
Uzbekistan,UHC index of essential service coverage,2017,73
Uzbekistan,UHC index of essential service coverage,2015,72
Vanuatu,UHC index of essential service coverage,2017,48
Vanuatu,UHC index of essential service coverage,2015,49
Venezuela (Bolivarian Republic of),UHC index of essential service coverage,2017,74
Venezuela (Bolivarian Republic of),UHC index of essential service coverage,2015,73
Viet Nam,UHC index of essential service coverage,2017,75
Viet Nam,UHC index of essential service coverage,2015,73
Yemen,UHC index of essential service coverage,2017,42
Yemen,UHC index of essential service coverage,2015,40
Zambia,UHC index of essential service coverage,2017,53
Zambia,UHC index of essential service coverage,2015,54
Zimbabwe,UHC index of essential service coverage,2017,54
Zimbabwe,UHC index of essential service coverage,2015,54
