Location,Indicator,Period,First Tooltip
Gambia,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Georgia,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Germany,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
Ghana,Data availability for UHC index of essential service coverage (%),2013-2017,0.56
Greece,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Grenada,Data availability for UHC index of essential service coverage (%),2013-2017,0.21
Guatemala,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Guinea,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Guinea-Bissau,Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Guyana,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Haiti,Data availability for UHC index of essential service coverage (%),2013-2017,0.37
Honduras,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
Hungary,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Iceland,Data availability for UHC index of essential service coverage (%),2013-2017,0.54
India,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Indonesia,Data availability for UHC index of essential service coverage (%),2013-2017,0.53
Iran (Islamic Republic of),Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Iraq,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Ireland,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Israel,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Italy,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Jamaica,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Japan,Data availability for UHC index of essential service coverage (%),2013-2017,0.57
Jordan,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Kazakhstan,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Kenya,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Kiribati,Data availability for UHC index of essential service coverage (%),2013-2017,0.24
Kuwait,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
Kyrgyzstan,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Lao People's Democratic Republic,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Latvia,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Lebanon,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Lesotho,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Liberia,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Libya,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Lithuania,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Luxembourg,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Madagascar,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Malawi,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Malaysia,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Maldives,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Mali,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Malta,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Mauritania,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Mauritius,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Mexico,Data availability for UHC index of essential service coverage (%),2013-2017,0.54
Micronesia (Federated States of),Data availability for UHC index of essential service coverage (%),2013-2017,0.21
Mongolia,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Montenegro,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Morocco,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Mozambique,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Myanmar,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Namibia,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Nepal,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Netherlands,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
New Zealand,Data availability for UHC index of essential service coverage (%),2013-2017,0.51
Nicaragua,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Niger,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Nigeria,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Norway,Data availability for UHC index of essential service coverage (%),2013-2017,0.53
Oman,Data availability for UHC index of essential service coverage (%),2013-2017,0.56
Pakistan,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Panama,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Papua New Guinea,Data availability for UHC index of essential service coverage (%),2013-2017,0.26
Paraguay,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Peru,Data availability for UHC index of essential service coverage (%),2013-2017,0.7
Philippines,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Poland,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Portugal,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Qatar,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Republic of Korea,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
Republic of Moldova,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
The former Yugoslav Republic of Macedonia,Data availability for UHC index of essential service coverage (%),2013-2017,0.37
Romania,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Russian Federation,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Rwanda,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Saint Lucia,Data availability for UHC index of essential service coverage (%),2013-2017,0.17
Saint Vincent and the Grenadines,Data availability for UHC index of essential service coverage (%),2013-2017,0.17
Samoa,Data availability for UHC index of essential service coverage (%),2013-2017,0.3
Sao Tome and Principe,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Saudi Arabia,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Senegal,Data availability for UHC index of essential service coverage (%),2013-2017,0.56
Serbia,Data availability for UHC index of essential service coverage (%),2013-2017,0.51
Seychelles,Data availability for UHC index of essential service coverage (%),2013-2017,0.27
Sierra Leone,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Singapore,Data availability for UHC index of essential service coverage (%),2013-2017,0.44
Slovakia,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
Slovenia,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Solomon Islands,Data availability for UHC index of essential service coverage (%),2013-2017,0.31
Somalia,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
South Africa,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
South Sudan,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Spain,Data availability for UHC index of essential service coverage (%),2013-2017,0.53
Sri Lanka,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Sudan,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Suriname,Data availability for UHC index of essential service coverage (%),2013-2017,0.3
Sweden,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
Switzerland,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Syrian Arab Republic,Data availability for UHC index of essential service coverage (%),2013-2017,0.33
Tajikistan,Data availability for UHC index of essential service coverage (%),2013-2017,0.34
Thailand,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Timor-Leste,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Togo,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Tonga,Data availability for UHC index of essential service coverage (%),2013-2017,0.17
Trinidad and Tobago,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Tunisia,Data availability for UHC index of essential service coverage (%),2013-2017,0.43
Turkey,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Turkmenistan,Data availability for UHC index of essential service coverage (%),2013-2017,0.29
Uganda,Data availability for UHC index of essential service coverage (%),2013-2017,0.49
Ukraine,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
United Arab Emirates,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
United Kingdom of Great Britain and Northern Ireland,Data availability for UHC index of essential service coverage (%),2013-2017,0.46
United Republic of Tanzania,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
United States of America,Data availability for UHC index of essential service coverage (%),2013-2017,0.47
Uruguay,Data availability for UHC index of essential service coverage (%),2013-2017,0.5
Uzbekistan,Data availability for UHC index of essential service coverage (%),2013-2017,0.36
Vanuatu,Data availability for UHC index of essential service coverage (%),2013-2017,0.26
Venezuela (Bolivarian Republic of),Data availability for UHC index of essential service coverage (%),2013-2017,0.41
Viet Nam,Data availability for UHC index of essential service coverage (%),2013-2017,0.4
Yemen,Data availability for UHC index of essential service coverage (%),2013-2017,0.37
Zambia,Data availability for UHC index of essential service coverage (%),2013-2017,0.39
Zimbabwe,Data availability for UHC index of essential service coverage (%),2013-2017,0.41
