Location,Indicator,Period,First Tooltip
Nepal,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,56.1
Nicaragua,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,89.8
Niger,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,45.4
Nigeria,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,26.3
Oman,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,39.6
Pakistan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,47
Panama,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,75.9
Papua New Guinea,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2007,40.6
Paraguay,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,82.6
Peru,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,66.1
Philippines,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,51.5
Qatar,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,68.9
Republic of Moldova,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,60.4
The former Yugoslav Republic of Macedonia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,22.3
Rwanda,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,65.9
Saint Lucia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,72.4
Samoa,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,39.4
Sao Tome and Principe,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,50.3
Senegal,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,47.4
Serbia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,25.1
Sierra Leone,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,37.5
Solomon Islands,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,38
South Africa,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,77.9
South Sudan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2010,5.6
Sri Lanka,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,74.1
Sudan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,30.2
Suriname,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2010,73.2
Syrian Arab Republic,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2009,53.3
Tajikistan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,50.8
Thailand,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,89.2
Timor-Leste,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,46.1
Togo,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,32.1
Tonga,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,47.9
Trinidad and Tobago,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2011,58.2
Tunisia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,73.2
Turkey,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,59.7
Turkmenistan,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,75.6
Tuvalu,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2007,41
Uganda,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2017,49.9
Ukraine,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2012,68
United Republic of Tanzania,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2016,52.9
Vanuatu,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,50.7
Viet Nam,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,69.7
Yemen,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2013,46.9
Zambia,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2014,63.8
Zimbabwe,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),2015,85.2
