Location,Period,Indicator,First Tooltip
Brazil,2002,Births attended by skilled health personnel (%),98.5
Brazil,2001,Births attended by skilled health personnel (%),98.3
Brazil,2000,Births attended by skilled health personnel (%),98.6
Brunei Darussalam,2017,Births attended by skilled health personnel (%),99.8
Brunei Darussalam,2016,Births attended by skilled health personnel (%),100
Brunei Darussalam,2015,Births attended by skilled health personnel (%),100
Brunei Darussalam,2014,Births attended by skilled health personnel (%),99.9
Brunei Darussalam,2013,Births attended by skilled health personnel (%),99.7
Brunei Darussalam,2012,Births attended by skilled health personnel (%),99.8
Brunei Darussalam,2011,Births attended by skilled health personnel (%),99.6
Brunei Darussalam,2010,Births attended by skilled health personnel (%),99.8
Brunei Darussalam,2009,Births attended by skilled health personnel (%),99.8
Brunei Darussalam,2008,Births attended by skilled health personnel (%),99.7
Brunei Darussalam,2007,Births attended by skilled health personnel (%),99.9
Brunei Darussalam,2006,Births attended by skilled health personnel (%),99.6
Brunei Darussalam,2005,Births attended by skilled health personnel (%),99.6
Brunei Darussalam,2004,Births attended by skilled health personnel (%),99.4
Brunei Darussalam,2003,Births attended by skilled health personnel (%),99.4
Brunei Darussalam,2002,Births attended by skilled health personnel (%),99.4
Brunei Darussalam,2001,Births attended by skilled health personnel (%),99.7
Brunei Darussalam,2000,Births attended by skilled health personnel (%),99.2
Bulgaria,2015,Births attended by skilled health personnel (%),99.8
Bulgaria,2014,Births attended by skilled health personnel (%),99.7
Bulgaria,2013,Births attended by skilled health personnel (%),99.7
Bulgaria,2010,Births attended by skilled health personnel (%),99.5
Bulgaria,2009,Births attended by skilled health personnel (%),99.6
Bulgaria,2008,Births attended by skilled health personnel (%),99.6
Bulgaria,2007,Births attended by skilled health personnel (%),99.6
Bulgaria,2006,Births attended by skilled health personnel (%),99.4
Bulgaria,2005,Births attended by skilled health personnel (%),99.4
Bulgaria,2004,Births attended by skilled health personnel (%),99.4
Bulgaria,2003,Births attended by skilled health personnel (%),99.2
Bulgaria,2002,Births attended by skilled health personnel (%),99.2
Bulgaria,2001,Births attended by skilled health personnel (%),98.9
Bulgaria,2000,Births attended by skilled health personnel (%),99.8
Burkina Faso,2015,Births attended by skilled health personnel (%),79.8
Burkina Faso,2010,Births attended by skilled health personnel (%),65.9
Burkina Faso,2006,Births attended by skilled health personnel (%),53.5
Burundi,2017,Births attended by skilled health personnel (%),85.1
Burundi,2010,Births attended by skilled health personnel (%),60.3
Burundi,2005,Births attended by skilled health personnel (%),31.8
Cabo Verde,2017,Births attended by skilled health personnel (%),92.4
Cabo Verde,2016,Births attended by skilled health personnel (%),92.6
Cabo Verde,2015,Births attended by skilled health personnel (%),91.4
Cabo Verde,2014,Births attended by skilled health personnel (%),95.6
Cabo Verde,2013,Births attended by skilled health personnel (%),92.3
Cabo Verde,2011,Births attended by skilled health personnel (%),98.7
Cabo Verde,2010,Births attended by skilled health personnel (%),98.5
Cabo Verde,2009,Births attended by skilled health personnel (%),75.6
Cabo Verde,2008,Births attended by skilled health personnel (%),74.6
Cabo Verde,2007,Births attended by skilled health personnel (%),74.4
Cabo Verde,2006,Births attended by skilled health personnel (%),76.4
Cabo Verde,2005,Births attended by skilled health personnel (%),75.9
Cambodia,2014,Births attended by skilled health personnel (%),89
Cambodia,2011,Births attended by skilled health personnel (%),71.7
Cambodia,2010,Births attended by skilled health personnel (%),71
Cambodia,2005,Births attended by skilled health personnel (%),43.8
Cambodia,2004,Births attended by skilled health personnel (%),16.3
Cameroon,2019,Births attended by skilled health personnel (%),69
Cameroon,2014,Births attended by skilled health personnel (%),64.7
Cameroon,2011,Births attended by skilled health personnel (%),56.1
Cameroon,2006,Births attended by skilled health personnel (%),58.9
Canada,2018,Births attended by skilled health personnel (%),98
Canada,2017,Births attended by skilled health personnel (%),97.9
Canada,2016,Births attended by skilled health personnel (%),97.8
Canada,2015,Births attended by skilled health personnel (%),97.9
Canada,2014,Births attended by skilled health personnel (%),97.9
Canada,2013,Births attended by skilled health personnel (%),98
Canada,2012,Births attended by skilled health personnel (%),98.1
Canada,2011,Births attended by skilled health personnel (%),98.4
Canada,2010,Births attended by skilled health personnel (%),98.5
Canada,2009,Births attended by skilled health personnel (%),98.6
Canada,2008,Births attended by skilled health personnel (%),98.7
Canada,2007,Births attended by skilled health personnel (%),98.8
Canada,2006,Births attended by skilled health personnel (%),98.8
Canada,2005,Births attended by skilled health personnel (%),98.8
Canada,2004,Births attended by skilled health personnel (%),99
Canada,2003,Births attended by skilled health personnel (%),98.9
Canada,2002,Births attended by skilled health personnel (%),99.3
Canada,2001,Births attended by skilled health personnel (%),99.3
Canada,2000,Births attended by skilled health personnel (%),99.3
Central African Republic,2010,Births attended by skilled health personnel (%),40
Central African Republic,2008,Births attended by skilled health personnel (%),43.7
Central African Republic,2006,Births attended by skilled health personnel (%),41.4
Chad,2015,Births attended by skilled health personnel (%),24.3
Chad,2010,Births attended by skilled health personnel (%),16.6
Chile,2017,Births attended by skilled health personnel (%),99.8
Chile,2016,Births attended by skilled health personnel (%),99.7
Chile,2015,Births attended by skilled health personnel (%),99.7
Chile,2014,Births attended by skilled health personnel (%),99.8
Chile,2013,Births attended by skilled health personnel (%),99.8
Chile,2012,Births attended by skilled health personnel (%),99.8
Chile,2011,Births attended by skilled health personnel (%),99.8
Chile,2010,Births attended by skilled health personnel (%),99.8
Chile,2009,Births attended by skilled health personnel (%),99.8
Chile,2008,Births attended by skilled health personnel (%),99.8
Chile,2007,Births attended by skilled health personnel (%),99.7
Chile,2006,Births attended by skilled health personnel (%),99.8
Chile,2005,Births attended by skilled health personnel (%),99.8
Chile,2004,Births attended by skilled health personnel (%),99.8
Chile,2003,Births attended by skilled health personnel (%),97.7
Chile,2002,Births attended by skilled health personnel (%),99.8
Chile,2001,Births attended by skilled health personnel (%),99.8
Chile,2000,Births attended by skilled health personnel (%),99
China,2016,Births attended by skilled health personnel (%),99.9
China,2015,Births attended by skilled health personnel (%),99.9
China,2014,Births attended by skilled health personnel (%),99.9
China,2013,Births attended by skilled health personnel (%),99.9
China,2012,Births attended by skilled health personnel (%),99.8
China,2011,Births attended by skilled health personnel (%),99.7
China,2010,Births attended by skilled health personnel (%),99.6
China,2009,Births attended by skilled health personnel (%),99.3
China,2008,Births attended by skilled health personnel (%),99.1
China,2007,Births attended by skilled health personnel (%),98.4
China,2006,Births attended by skilled health personnel (%),97.8
China,2005,Births attended by skilled health personnel (%),97.5
China,2004,Births attended by skilled health personnel (%),97.3
China,2003,Births attended by skilled health personnel (%),95.9
China,2002,Births attended by skilled health personnel (%),96.7
China,2001,Births attended by skilled health personnel (%),97.3
China,2000,Births attended by skilled health personnel (%),96.6
Colombia,2019,Births attended by skilled health personnel (%),99.1
Colombia,2018,Births attended by skilled health personnel (%),98.4
Colombia,2017,Births attended by skilled health personnel (%),99.3
Colombia,2015,Births attended by skilled health personnel (%),99.1
Colombia,2014,Births attended by skilled health personnel (%),98.9
Colombia,2013,Births attended by skilled health personnel (%),98.7
Colombia,2012,Births attended by skilled health personnel (%),98.7
Colombia,2011,Births attended by skilled health personnel (%),99.2
Colombia,2010,Births attended by skilled health personnel (%),94.8
Colombia,2009,Births attended by skilled health personnel (%),98.6
Colombia,2008,Births attended by skilled health personnel (%),98.1
Colombia,2007,Births attended by skilled health personnel (%),97.8
Colombia,2006,Births attended by skilled health personnel (%),97.1
Colombia,2005,Births attended by skilled health personnel (%),90.7
Colombia,2004,Births attended by skilled health personnel (%),95.6
Colombia,2003,Births attended by skilled health personnel (%),95
Colombia,2002,Births attended by skilled health personnel (%),94.5
Colombia,2001,Births attended by skilled health personnel (%),93.1
Colombia,2000,Births attended by skilled health personnel (%),92.9
Comoros,2012,Births attended by skilled health personnel (%),82.2
Congo,2015,Births attended by skilled health personnel (%),91.2
Congo,2012,Births attended by skilled health personnel (%),92.5
Congo,2005,Births attended by skilled health personnel (%),83.4
Cook Islands,2009,Births attended by skilled health personnel (%),100
Cook Islands,2008,Births attended by skilled health personnel (%),100
Cook Islands,2005,Births attended by skilled health personnel (%),100
Cook Islands,2000,Births attended by skilled health personnel (%),98
Costa Rica,2018,Births attended by skilled health personnel (%),99
Costa Rica,2017,Births attended by skilled health personnel (%),98.7
Costa Rica,2016,Births attended by skilled health personnel (%),98.8
Costa Rica,2015,Births attended by skilled health personnel (%),90
Costa Rica,2014,Births attended by skilled health personnel (%),99.2
Costa Rica,2013,Births attended by skilled health personnel (%),99
Costa Rica,2012,Births attended by skilled health personnel (%),98.9
Costa Rica,2011,Births attended by skilled health personnel (%),98.4
Costa Rica,2010,Births attended by skilled health personnel (%),95.3
Costa Rica,2009,Births attended by skilled health personnel (%),99.1
Costa Rica,2008,Births attended by skilled health personnel (%),99.1
Costa Rica,2007,Births attended by skilled health personnel (%),98.7
Costa Rica,2006,Births attended by skilled health personnel (%),98.6
Costa Rica,2005,Births attended by skilled health personnel (%),98.5
Costa Rica,2004,Births attended by skilled health personnel (%),98.5
Costa Rica,2003,Births attended by skilled health personnel (%),98.2
Costa Rica,2002,Births attended by skilled health personnel (%),98.5
Costa Rica,2001,Births attended by skilled health personnel (%),98
Costa Rica,2000,Births attended by skilled health personnel (%),98.4
Côte d’Ivoire,2016,Births attended by skilled health personnel (%),73.6
Côte d’Ivoire,2012,Births attended by skilled health personnel (%),59.4
Côte d’Ivoire,2006,Births attended by skilled health personnel (%),56.8
Côte d’Ivoire,2005,Births attended by skilled health personnel (%),55.1
Côte d’Ivoire,2004,Births attended by skilled health personnel (%),68
Croatia,2017,Births attended by skilled health personnel (%),99.9
Croatia,2016,Births attended by skilled health personnel (%),99.9
Croatia,2015,Births attended by skilled health personnel (%),99.9
Croatia,2014,Births attended by skilled health personnel (%),99.9
Croatia,2013,Births attended by skilled health personnel (%),99.9
Croatia,2012,Births attended by skilled health personnel (%),99.9
Croatia,2011,Births attended by skilled health personnel (%),99.9
Croatia,2010,Births attended by skilled health personnel (%),99.9
Croatia,2009,Births attended by skilled health personnel (%),99.9
Croatia,2008,Births attended by skilled health personnel (%),99.9
Croatia,2007,Births attended by skilled health personnel (%),99.9
Croatia,2006,Births attended by skilled health personnel (%),99.9
Croatia,2005,Births attended by skilled health personnel (%),99.9
Croatia,2004,Births attended by skilled health personnel (%),99.9
Croatia,2003,Births attended by skilled health personnel (%),99.9
Croatia,2002,Births attended by skilled health personnel (%),99.9
Croatia,2001,Births attended by skilled health personnel (%),99.9
Croatia,2000,Births attended by skilled health personnel (%),99.9
Cuba,2018,Births attended by skilled health personnel (%),99.9
Cuba,2017,Births attended by skilled health personnel (%),99.9
Cuba,2016,Births attended by skilled health personnel (%),99.9
Cuba,2015,Births attended by skilled health personnel (%),99.9
Cuba,2014,Births attended by skilled health personnel (%),99.9
Cuba,2013,Births attended by skilled health personnel (%),99.9
Cuba,2012,Births attended by skilled health personnel (%),99.9
Cuba,2011,Births attended by skilled health personnel (%),99.9
Cuba,2010,Births attended by skilled health personnel (%),99.9
Cuba,2009,Births attended by skilled health personnel (%),99.9
Cuba,2008,Births attended by skilled health personnel (%),99.9
Cuba,2007,Births attended by skilled health personnel (%),99.9
Cuba,2006,Births attended by skilled health personnel (%),99.9
Cuba,2005,Births attended by skilled health personnel (%),99.9
Cuba,2004,Births attended by skilled health personnel (%),99.9
Cuba,2003,Births attended by skilled health personnel (%),99.9
Cuba,2002,Births attended by skilled health personnel (%),99.9
Cuba,2001,Births attended by skilled health personnel (%),99.9
Cuba,2000,Births attended by skilled health personnel (%),99.9
Cyprus,2018,Births attended by skilled health personnel (%),98.3
Cyprus,2017,Births attended by skilled health personnel (%),96
Cyprus,2016,Births attended by skilled health personnel (%),95.6
Cyprus,2015,Births attended by skilled health personnel (%),97.1
Cyprus,2014,Births attended by skilled health personnel (%),97.4
Cyprus,2013,Births attended by skilled health personnel (%),99.9
Cyprus,2012,Births attended by skilled health personnel (%),98.7
Cyprus,2011,Births attended by skilled health personnel (%),98.3
Cyprus,2010,Births attended by skilled health personnel (%),98.6
Cyprus,2009,Births attended by skilled health personnel (%),98.3
Cyprus,2008,Births attended by skilled health personnel (%),97.2
Cyprus,2007,Births attended by skilled health personnel (%),98.3
Cyprus,2006,Births attended by skilled health personnel (%),98.5
