Location,Indicator,Period,Dim1,First Tooltip
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,1.6
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,19.5
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,37.4
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,1.6
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,20
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,38.3
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,1.8
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,21.1
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,40.2
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,2
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,22.4
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,42.4
Algeria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,2.4
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,33.8
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,38.1
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,29.5
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,33.9
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,38.4
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,29.4
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,33.9
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,38.4
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,29.4
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,34.2
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,38.8
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,29.6
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,34.1
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,38.7
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,29.5
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,34.3
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,39
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,29.5
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,34.7
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,39.9
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,29.5
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,35.4
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,41.2
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,29.6
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,36.3
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,42.6
Andorra,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,29.9
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,21.8
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,28.2
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,15.4
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,22.7
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,29.2
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,16.2
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,23.6
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,30.2
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,17
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,24.6
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,31.3
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,17.9
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,25.6
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,32.3
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,18.9
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,26.6
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,33.5
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,19.7
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,30.1
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,37.2
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,22.9
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,37.1
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,44.6
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,29.7
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,46.2
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,53.5
Argentina,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,39
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,26.7
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,51.8
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,1.6
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,27.3
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,52.9
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,1.6
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,27.5
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,53.5
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,1.6
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,27.9
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,54.1
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,1.7
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,28.3
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,54.8
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,1.7
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,28.9
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,55.9
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,1.8
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,30
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,58.2
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,1.9
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,32.3
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,62.4
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,2.2
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,34.3
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,66.1
Armenia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,2.6
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,16.2
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,18.7
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,13.6
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,16.6
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,19.2
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,14
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,17.1
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,19.7
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,14.5
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,17.7
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,20.3
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,15.1
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,18.2
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,20.7
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,15.6
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,18.6
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,21.2
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,16.1
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,20.4
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,22.9
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,17.9
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,23.8
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,26.4
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,21.3
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,27.6
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,29.9
Australia,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,25.2
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,29.1
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,30.4
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,27.7
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,29.9
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,31.3
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,28.4
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,30.7
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,32.3
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,29.1
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,31.5
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,33.2
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,29.7
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,32.5
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,34.4
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,30.5
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,33.2
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,35.2
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,31.2
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,36.1
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,38.8
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,33.5
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,41.7
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,45.4
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,38
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,48.1
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,53
Austria,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,43.1
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,19.6
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,39
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,0.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,19.9
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,39.6
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,0.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,20.3
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,40.4
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,0.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,20.7
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,41.1
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,0.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,21.1
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,42
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,0.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,21.5
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,42.7
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,0.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,22.8
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,45.3
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,0.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,25.3
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,50.2
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,0.3
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,28.1
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,55.9
Azerbaijan,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,0.4
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,10.9
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,18.6
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,3.2
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,11
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,18.6
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,3.3
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,10.9
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,18.5
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,3.3
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,11
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,18.5
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,3.4
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,11
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,18.5
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,3.5
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,11
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,18.4
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,3.6
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,11.1
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,18.4
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,3.8
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,11.3
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,18.4
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,4.3
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,11.8
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,18.7
Bahamas,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,4.8
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,25.1
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,41.5
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,8.6
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,25.2
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,41.6
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,8.8
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,25.3
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,41.7
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,8.9
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,25.4
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,41.8
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,9.1
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,25.5
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,41.9
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,9.2
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,25.5
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,41.7
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,9.3
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,26
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,42.2
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,9.9
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,27
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,43.2
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,10.9
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,28.1
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Male,44.1
Bahrain,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Female,12
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Both sexes,39.1
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Male,60.6
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2018,Female,17.7
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Both sexes,39.5
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Male,60.5
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2017,Female,18.5
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Both sexes,40.1
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Male,60.8
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2016,Female,19.3
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Both sexes,40.7
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Male,61.3
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2015,Female,20.2
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Both sexes,41.1
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Male,61.3
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2014,Female,21
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Both sexes,41.7
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Male,61.6
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2013,Female,21.8
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Both sexes,43.5
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Male,62.4
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2010,Female,24.7
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Both sexes,47.2
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Male,63.8
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2005,Female,30.6
Bangladesh,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older,2000,Both sexes,51.5
