Location,Indicator,Period,First Tooltip
Guinea-Bissau,Estimated road traffic death rate (per 100 000 population),2016,31.1
Guyana,Estimated road traffic death rate (per 100 000 population),2016,24.6
Honduras,Estimated road traffic death rate (per 100 000 population),2016,16.7
Hungary,Estimated road traffic death rate (per 100 000 population),2016,7.8
Iceland,Estimated road traffic death rate (per 100 000 population),2016,6.6
India,Estimated road traffic death rate (per 100 000 population),2016,22.6
Indonesia,Estimated road traffic death rate (per 100 000 population),2016,12.2
Iran (Islamic Republic of),Estimated road traffic death rate (per 100 000 population),2016,20.5
Iraq,Estimated road traffic death rate (per 100 000 population),2016,20.7
Ireland,Estimated road traffic death rate (per 100 000 population),2016,4.1
Israel,Estimated road traffic death rate (per 100 000 population),2016,4.2
Italy,Estimated road traffic death rate (per 100 000 population),2016,5.6
Jamaica,Estimated road traffic death rate (per 100 000 population),2016,13.6
Japan,Estimated road traffic death rate (per 100 000 population),2016,4.1
Jordan,Estimated road traffic death rate (per 100 000 population),2016,24.4
Kazakhstan,Estimated road traffic death rate (per 100 000 population),2016,17.6
Kenya,Estimated road traffic death rate (per 100 000 population),2016,27.8
Kiribati,Estimated road traffic death rate (per 100 000 population),2016,4.4
Kuwait,Estimated road traffic death rate (per 100 000 population),2016,17.6
Kyrgyzstan,Estimated road traffic death rate (per 100 000 population),2016,15.4
Lao People's Democratic Republic,Estimated road traffic death rate (per 100 000 population),2016,16.6
Latvia,Estimated road traffic death rate (per 100 000 population),2016,9.3
Lebanon,Estimated road traffic death rate (per 100 000 population),2016,18.1
Lesotho,Estimated road traffic death rate (per 100 000 population),2016,28.9
Liberia,Estimated road traffic death rate (per 100 000 population),2016,35.9
Libya,Estimated road traffic death rate (per 100 000 population),2016,26.1
Lithuania,Estimated road traffic death rate (per 100 000 population),2016,8
Luxembourg,Estimated road traffic death rate (per 100 000 population),2016,6.3
Madagascar,Estimated road traffic death rate (per 100 000 population),2016,28.6
Malawi,Estimated road traffic death rate (per 100 000 population),2016,31
Malaysia,Estimated road traffic death rate (per 100 000 population),2016,23.6
Maldives,Estimated road traffic death rate (per 100 000 population),2016,0.9
Mali,Estimated road traffic death rate (per 100 000 population),2016,23.1
Malta,Estimated road traffic death rate (per 100 000 population),2016,6.1
Mauritania,Estimated road traffic death rate (per 100 000 population),2016,24.7
Mauritius,Estimated road traffic death rate (per 100 000 population),2016,13.7
Mexico,Estimated road traffic death rate (per 100 000 population),2016,13.1
Micronesia (Federated States of),Estimated road traffic death rate (per 100 000 population),2016,1.9
Mongolia,Estimated road traffic death rate (per 100 000 population),2016,16.5
Montenegro,Estimated road traffic death rate (per 100 000 population),2016,10.7
Morocco,Estimated road traffic death rate (per 100 000 population),2016,19.6
Mozambique,Estimated road traffic death rate (per 100 000 population),2016,30.1
Myanmar,Estimated road traffic death rate (per 100 000 population),2016,19.9
Namibia,Estimated road traffic death rate (per 100 000 population),2016,30.4
Nepal,Estimated road traffic death rate (per 100 000 population),2016,15.9
Netherlands,Estimated road traffic death rate (per 100 000 population),2016,3.8
New Zealand,Estimated road traffic death rate (per 100 000 population),2016,7.8
Niger,Estimated road traffic death rate (per 100 000 population),2016,26.2
Nigeria,Estimated road traffic death rate (per 100 000 population),2016,21.4
Norway,Estimated road traffic death rate (per 100 000 population),2016,2.7
State of Palestine,Estimated road traffic death rate (per 100 000 population),2016,5.3
Oman,Estimated road traffic death rate (per 100 000 population),2016,16.1
Pakistan,Estimated road traffic death rate (per 100 000 population),2016,14.3
Panama,Estimated road traffic death rate (per 100 000 population),2016,14.3
Papua New Guinea,Estimated road traffic death rate (per 100 000 population),2016,14.2
Paraguay,Estimated road traffic death rate (per 100 000 population),2016,22.7
Peru,Estimated road traffic death rate (per 100 000 population),2016,13.5
Philippines,Estimated road traffic death rate (per 100 000 population),2016,12.3
Poland,Estimated road traffic death rate (per 100 000 population),2016,9.7
Portugal,Estimated road traffic death rate (per 100 000 population),2016,7.4
Qatar,Estimated road traffic death rate (per 100 000 population),2016,9.3
Republic of Korea,Estimated road traffic death rate (per 100 000 population),2016,9.8
Republic of Moldova,Estimated road traffic death rate (per 100 000 population),2016,9.7
The former Yugoslav Republic of Macedonia,Estimated road traffic death rate (per 100 000 population),2016,6.4
Romania,Estimated road traffic death rate (per 100 000 population),2016,10.3
Russian Federation,Estimated road traffic death rate (per 100 000 population),2016,18
Rwanda,Estimated road traffic death rate (per 100 000 population),2016,29.7
Saint Lucia,Estimated road traffic death rate (per 100 000 population),2016,35.4
Samoa,Estimated road traffic death rate (per 100 000 population),2016,11.3
San Marino,Estimated road traffic death rate (per 100 000 population),2016,0
Sao Tome and Principe,Estimated road traffic death rate (per 100 000 population),2016,27.5
Saudi Arabia,Estimated road traffic death rate (per 100 000 population),2016,28.8
Senegal,Estimated road traffic death rate (per 100 000 population),2016,23.4
Serbia,Estimated road traffic death rate (per 100 000 population),2016,7.4
Seychelles,Estimated road traffic death rate (per 100 000 population),2016,15.9
Singapore,Estimated road traffic death rate (per 100 000 population),2016,2.8
Slovakia,Estimated road traffic death rate (per 100 000 population),2016,6.1
Slovenia,Estimated road traffic death rate (per 100 000 population),2016,6.4
Solomon Islands,Estimated road traffic death rate (per 100 000 population),2016,17.4
Somalia,Estimated road traffic death rate (per 100 000 population),2016,27.1
South Africa,Estimated road traffic death rate (per 100 000 population),2016,25.9
South Sudan,Estimated road traffic death rate (per 100 000 population),2016,29.9
Spain,Estimated road traffic death rate (per 100 000 population),2016,4.1
Sri Lanka,Estimated road traffic death rate (per 100 000 population),2016,14.9
Sudan,Estimated road traffic death rate (per 100 000 population),2016,25.7
Suriname,Estimated road traffic death rate (per 100 000 population),2016,14.5
Sweden,Estimated road traffic death rate (per 100 000 population),2016,2.8
Switzerland,Estimated road traffic death rate (per 100 000 population),2016,2.7
Syrian Arab Republic,Estimated road traffic death rate (per 100 000 population),2016,26.5
Tajikistan,Estimated road traffic death rate (per 100 000 population),2016,18.1
Thailand,Estimated road traffic death rate (per 100 000 population),2016,32.7
Timor-Leste,Estimated road traffic death rate (per 100 000 population),2016,12.7
Togo,Estimated road traffic death rate (per 100 000 population),2016,29.2
Tonga,Estimated road traffic death rate (per 100 000 population),2016,16.8
Trinidad and Tobago,Estimated road traffic death rate (per 100 000 population),2016,12.1
Tunisia,Estimated road traffic death rate (per 100 000 population),2016,22.8
Turkey,Estimated road traffic death rate (per 100 000 population),2016,12.3
Turkmenistan,Estimated road traffic death rate (per 100 000 population),2016,14.5
Uganda,Estimated road traffic death rate (per 100 000 population),2016,29
Ukraine,Estimated road traffic death rate (per 100 000 population),2016,13.7
United Arab Emirates,Estimated road traffic death rate (per 100 000 population),2016,18.1
United Kingdom of Great Britain and Northern Ireland,Estimated road traffic death rate (per 100 000 population),2016,3.1
United Republic of Tanzania,Estimated road traffic death rate (per 100 000 population),2016,29.2
United States of America,Estimated road traffic death rate (per 100 000 population),2016,12.4
Uruguay,Estimated road traffic death rate (per 100 000 population),2016,13.4
Uzbekistan,Estimated road traffic death rate (per 100 000 population),2016,11.5
Vanuatu,Estimated road traffic death rate (per 100 000 population),2016,15.9
Venezuela (Bolivarian Republic of),Estimated road traffic death rate (per 100 000 population),2016,33.7
Viet Nam,Estimated road traffic death rate (per 100 000 population),2016,26.4
Zimbabwe,Estimated road traffic death rate (per 100 000 population),2016,34.7
