Location,Dim2,Indicator,Period,Dim1,First Tooltip
Afghanistan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,106.9 [91.91-121.1]
Afghanistan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,120.2 [102.9-137.6]
Afghanistan,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,93.64 [81.02-106.3]
Afghanistan,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,15.75 [13.48-18.04]
Afghanistan,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,14.02 [11.94-16.23]
Afghanistan,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,17.6 [15.08-20.16]
Afghanistan,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,45.1 [38.59-51.65]
Afghanistan,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,43.52 [37.07-50.4]
Afghanistan,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,46.71 [40.01-53.5]
Afghanistan,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.97 [5.33-8.39]
Afghanistan,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.79 [4.13-8.97]
Afghanistan,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,7.17 [5.71-8.35]
Afghanistan,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,23.35 [17.85-28.08]
Afghanistan,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,25.72 [15.66-33.99]
Afghanistan,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,21.48 [17.12-25.03]
Albania,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,104.7 [70.26-147.3]
Albania,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,117.6 [80.81-164.3]
Albania,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,91.59 [60.07-131.1]
Albania,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,67.99 [45.61-95.6]
Albania,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,82.39 [56.6-115.1]
Albania,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,54.66 [35.85-78.28]
Albania,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,5.03 [2.99-7.46]
Albania,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,5.54 [3.28-8.24]
Albania,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,4.51 [2.67-6.75]
Albania,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,3.79 [2.25-5.62]
Albania,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,4.36 [2.58-6.49]
Albania,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,3.29 [1.95-4.93]
Albania,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.71 [5.27-17.31]
Albania,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,13.16 [6.34-21.51]
Albania,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,8.2 [3.98-13.11]
Albania,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,7.06 [3.47-11.41]
Albania,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.99 [4.33-14.7]
Albania,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,5.18 [2.51-8.27]
Albania,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,51.13 [33.86-70.75]
Albania,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,59.3 [40.43-81.56]
Albania,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,42.79 [27.16-60.96]
Albania,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,33.23 [22.01-45.99]
Albania,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,41.81 [28.5-57.5]
Albania,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,25.22 [16.01-35.93]
Albania,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,30.83 [18-47.78]
Albania,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,30.84 [18.51-47.34]
Albania,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,30.83 [17.72-48.24]
Albania,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,19.63 [11.46-30.43]
Albania,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,21.37 [12.83-32.8]
Albania,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,18.06 [10.38-28.27]
Albania,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.86 [3.84-10.65]
Albania,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,8.62 [4.34-14.29]
Albania,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,5.07 [2.82-7.83]
Albania,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,4.28 [2.39-6.65]
Albania,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,5.86 [2.95-9.72]
Albania,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,2.91 [1.62-4.5]
Algeria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,40.33 [31.34-70]
Algeria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,43.05 [33.97-73.59]
Algeria,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,37.56 [28.65-66.8]
Algeria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,49.68 [38.61-86.22]
Algeria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,55.17 [43.53-94.32]
Algeria,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,44.31 [33.8-78.8]
Algeria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.99 [4.66-12.97]
Algeria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.71 [4.49-12.37]
Algeria,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,7.28 [4.82-13.76]
Algeria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,7.58 [5.05-14.07]
Algeria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,7.71 [5.16-14.23]
Algeria,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,7.5 [4.96-14.17]
Algeria,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,1.65 [0.9-3.52]
Algeria,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,2.61 [1.43-5.45]
Algeria,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,0.68 [0.36-1.55]
Algeria,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,2.07 [1.13-4.41]
Algeria,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,3.32 [1.83-6.95]
Algeria,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,0.83 [0.44-1.89]
Algeria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,21.99 [16.31-36.56]
Algeria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,23.54 [17.7-38.21]
Algeria,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,20.41 [14.69-34.88]
Algeria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,27.82 [20.64-46.25]
Algeria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,30.69 [23.07-49.8]
Algeria,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.94 [17.94-42.62]
Algeria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.6 [4.5-11.68]
Algeria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.52 [4.55-11.23]
Algeria,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,6.69 [4.47-12.13]
Algeria,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,8.35 [5.69-14.78]
Algeria,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.61 [6.01-14.82]
Algeria,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,8.11 [5.43-14.72]
Algeria,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,2.98 [1.59-5.45]
Algeria,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,3.56 [1.89-6.52]
Algeria,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,2.38 [1.24-4.47]
Algeria,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,3.85 [2.05-7.04]
Algeria,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,4.84 [2.57-8.85]
Algeria,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,2.92 [1.53-5.49]
Angola,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,67.25 [57.83-76.43]
Angola,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,64.99 [55.3-74.2]
Angola,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,69.43 [60-78.72]
Angola,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,118.5 [101.9-134.7]
Angola,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,120.2 [102.3-137.2]
Angola,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,116.9 [101-132.5]
Angola,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,44.5 [36.1-52.17]
Angola,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,44.08 [35.59-51.83]
Angola,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,44.9 [36.54-52.5]
Angola,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,48.76 [39.56-57.17]
Angola,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,52.62 [42.49-61.88]
Angola,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,45.99 [37.43-53.77]
Angola,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,0.3 [0.22-0.38]
Angola,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,0.36 [0.25-0.46]
Angola,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,0.25 [0.19-0.31]
Angola,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,0.85 [0.62-1.06]
Angola,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,1.13 [0.78-1.44]
Angola,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,0.64 [0.48-0.78]
Angola,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.54 [8.95-12.21]
Angola,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,10.47 [8.92-12.12]
Angola,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,10.62 [8.86-12.38]
Angola,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,32.68 [27.75-37.85]
Angola,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,33.11 [28.21-38.35]
Angola,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,31.83 [26.55-37.11]
Angola,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,7.61 [6.28-9.04]
Angola,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.44 [5.34-7.61]
Angola,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,8.73 [7.18-10.37]
Angola,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,23.13 [19.08-27.5]
Angola,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,20.74 [17.19-24.51]
Angola,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.86 [20.45-29.53]
Angola,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,3.81 [2.82-4.74]
Angola,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,3.26 [1.79-4.58]
Angola,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,4.35 [3.32-5.23]
Angola,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,13.13 [9.7-16.32]
Angola,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,12.6 [6.92-17.72]
Angola,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,13.54 [10.32-16.28]
Antigua and Barbuda,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,28.29 [23.83-33.64]
Antigua and Barbuda,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,30.98 [26.13-36.78]
Antigua and Barbuda,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,25.8 [21.38-31.11]
Antigua and Barbuda,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,29.9 [25.18-35.55]
Antigua and Barbuda,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,37.16 [31.34-44.12]
Antigua and Barbuda,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,24.12 [19.99-29.08]
Antigua and Barbuda,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,5.77 [3.06-8.76]
Antigua and Barbuda,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,6.6 [3.49-10.06]
Antigua and Barbuda,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,5.01 [2.67-7.56]
Antigua and Barbuda,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.08 [3.23-9.22]
Antigua and Barbuda,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,7.9 [4.18-12.04]
Antigua and Barbuda,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,4.43 [2.36-6.69]
Antigua and Barbuda,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,0.5 [0.27-0.78]
Antigua and Barbuda,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,0.59 [0.32-0.91]
Antigua and Barbuda,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,0.41 [0.22-0.65]
Antigua and Barbuda,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,0.52 [0.28-0.8]
Antigua and Barbuda,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,0.63 [0.34-0.97]
Antigua and Barbuda,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,0.47 [0.26-0.74]
Antigua and Barbuda,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,13.28 [9.93-16.52]
Antigua and Barbuda,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,15.38 [11.95-18.65]
Antigua and Barbuda,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,11.34 [8.16-14.35]
Antigua and Barbuda,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,14.15 [10.58-17.6]
Antigua and Barbuda,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,18.32 [14.24-22.21]
Antigua and Barbuda,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,10.87 [7.83-13.76]
Antigua and Barbuda,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.26 [4.49-8.97]
Antigua and Barbuda,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,5.53 [4-7.74]
Antigua and Barbuda,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,6.93 [4.84-10.09]
Antigua and Barbuda,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.5 [4.66-9.31]
Antigua and Barbuda,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,6.7 [4.84-9.38]
Antigua and Barbuda,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,6.41 [4.48-9.34]
Antigua and Barbuda,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,2.47 [1.21-3.9]
Antigua and Barbuda,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,2.87 [1.41-4.57]
Antigua and Barbuda,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,2.1 [1.06-3.31]
Antigua and Barbuda,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,2.66 [1.31-4.2]
Antigua and Barbuda,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,3.62 [1.77-5.75]
Antigua and Barbuda,Chronic obstructive pulmonary disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,1.93 [0.98-3.05]
Argentina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,36.95 [27.62-48.96]
Argentina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,38.85 [29.57-50.58]
Argentina,Total,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,35.13 [25.64-47.83]
Argentina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,26.58 [19.87-35.22]
Argentina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,35.78 [27.23-46.59]
Argentina,Total,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,19.86 [14.49-27.03]
Argentina,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,10.14 [4.28-17.73]
Argentina,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,9.54 [4.01-16.73]
Argentina,Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,10.71 [4.6-18.7]
Argentina,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,6.85 [2.89-11.99]
Argentina,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,8.67 [3.64-15.2]
Argentina,Lower respiratory infections,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,5.66 [2.43-9.88]
Argentina,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,2.1 [0.99-3.62]
Argentina,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,2.83 [1.34-4.84]
Argentina,"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,1.39 [0.66-2.41]
Argentina,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,1.72 [0.81-2.96]
Argentina,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,2.64 [1.25-4.52]
Argentina,"Trachea, bronchus, lung cancers","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,1.03 [0.49-1.79]
Argentina,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,13.22 [9.26-17.49]
Argentina,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,14.63 [10.93-18.32]
Argentina,Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,11.87 [7.66-16.72]
Argentina,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,9.78 [6.85-12.94]
Argentina,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,13.61 [10.18-17.05]
Argentina,Ischaemic heart disease,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,6.7 [4.32-9.44]
Argentina,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,4.55 [3.02-7.7]
Argentina,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Male,4.68 [3.26-7.13]
Argentina,Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Female,4.43 [2.66-8.27]
Argentina,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Both sexes,3.42 [2.27-5.79]
Argentina,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Male,4.34 [3.02-6.63]
Argentina,Stroke,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2016,Female,2.73 [1.64-5.1]
Argentina,Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),2016,Both sexes,6.95 [3.06-11.98]
